01-11 18:30:24.630 25729 21070 D HONFecService: input: groupId=4615, index=2, length=1211
01-11 18:30:24.630 25729  4598 D HONFecService: output: groupId=3042, index=3, length=40
01-11 18:30:24.631 25729 24049 D HONFecService: input: groupId=4615, index=3, length=1211
01-11 18:30:24.631 25729  4598 D HONFecService: output: groupId=3042, index=4, length=72
01-11 18:30:24.632 25729 24049 D HONFecService: input: groupId=4615, index=4, length=1210
01-11 18:30:24.632 25729 21035 D HONFecService: output: groupId=3043, index=0, length=72
01-11 18:30:24.634 25729  4598 D HONFecService: input: groupId=4616, index=0, length=1210
01-11 18:30:24.634 25729  4598 D HONFecService: input: groupId=4616, index=1, length=1210
01-11 18:30:24.636 25729 21037 D HONFecService: input: groupId=4616, index=2, length=1210
01-11 18:30:24.636 25729 21037 D HONFecService: input: groupId=4616, index=3, length=1210
01-11 18:30:24.638 25729 24541 D HONFecService: input: groupId=4616, index=4, length=1210
01-11 18:30:24.638 25729 21039 D HONFecService: input: groupId=4617, index=0, length=1452
01-11 18:30:24.640 25729 21037 D HONFecService: output: groupId=3043, index=1, length=72
01-11 18:30:24.640 25729  4606 D HONFecService: input: groupId=4617, index=1, length=688
01-11 18:30:24.641 25729  4606 D HONFecService: input: groupId=4617, index=2, length=1149
01-11 18:30:24.642 25729 24048 D HONFecService: input: groupId=4617, index=3, length=689
01-11 18:30:24.643 25729 24048 D HONFecService: input: groupId=4617, index=4, length=408
01-11 18:30:24.644 25729 24574 D HONFecService: input: groupId=4618, index=0, length=1019
01-11 18:30:24.648 25729  4605 D HONFecService: input: groupId=4618, index=1, length=1018
01-11 18:30:24.649 25729  4605 D HONFecService: input: groupId=4618, index=2, length=1452
01-11 18:30:24.650 25729  4599 D HONFecService: input: groupId=4618, index=3, length=619
01-11 18:30:24.651 25729 24048 D HONFecService: output: groupId=3043, index=2, length=72
01-11 18:30:24.653 25729 24576 D HONFecService: input: groupId=4618, index=4, length=912
01-11 18:30:24.654 25729 24415 D HONFecService: input: groupId=4619, index=1, length=1452
01-11 18:30:24.654 25729 24415 D HONFecService: input: groupId=4619, index=0, length=430
01-11 18:30:24.657 25729  4598 D HONFecService: output: groupId=3043, index=3, length=60
01-11 18:30:24.658 25729 24574 D HONFecService: input: groupId=4619, index=4, length=1452
01-11 18:30:24.658 25729 24574 D HONFecService: input: groupId=4619, index=2, length=908
01-11 18:30:24.665 25729 24574 D HONFecService: input: groupId=4619, index=3, length=410
01-11 18:30:24.666 25729 23496 D HONFecService: input: groupId=4620, index=0, length=1452
01-11 18:30:24.668 25729 23496 D HONFecService: output: groupId=3043, index=4, length=60
01-11 18:30:24.670 25729 24048 D HONFecService: output: groupId=3044, index=0, length=72
01-11 18:30:24.670 25729 24415 D HONFecService: input: groupId=4620, index=1, length=1452
01-11 18:30:24.671 25729 24415 D HONFecService: input: groupId=4620, index=2, length=1452
01-11 18:30:24.671 25729 24048 D HONFecService: output: groupId=3044, index=1, length=60
01-11 18:30:24.672 25729 24415 D HONFecService: input: groupId=4620, index=3, length=1452
